review_id,customer_id,date,source,text,sentiment_score,sentiment_label,star_rating,topics,churn_signal
REV-00001,CUST-00502,2026-03-26,social_media,Us turn protect put then find ten. Model represent impact level boy again finish. How between respond way good sort. Management federal organization. But miss somebody paper high bit head.,-0.21,neutral,3,smooth checkout|slow delivery,True
REV-00002,CUST-02330,2026-03-26,support_ticket,Ask author me. Or tough statement role. Medical politics green image possible end. Hospital hear then attorney.,-0.061,neutral,3,terrible experience|smooth checkout,False
REV-00003,CUST-03477,2026-03-26,support_ticket,Should loss particular gas east shake take then. Same simple painting those. Base safe realize program community relationship allow. Site call wear half story build Congress. Southern dark federal.,0.166,neutral,3,quick response|good value,False
REV-00004,CUST-04398,2026-03-26,support_ticket,Foot require western daughter. Kitchen simple bad arm. Subject house side at author. Seven room the present not manager. Glass radio feeling far people.,0.168,neutral,3,good value,False
REV-00005,CUST-02344,2026-03-26,support_ticket,Develop believe grow top. Where officer matter. Statement door prepare soon usually. Realize last take effect those. Power structure his candidate.,0.555,positive,5,fast shipping,False
REV-00006,CUST-01148,2026-03-26,support_ticket,Important ready country fast four. Send example practice single store.,0.533,positive,5,love the app,False
REV-00007,CUST-01412,2026-03-26,social_media,Sure role get yeah everybody movie approach. Claim rest woman rather. Benefit worker interest its. Call computer opportunity seem role exist total.,0.334,positive,4,beautiful design|quick response|smooth checkout,False
REV-00008,CUST-04827,2026-03-26,app_store,Although key father century run account serve news. Indeed rich far. Bill raise million cold know risk generation.,-0.35,negative,2,no response,True
REV-00009,CUST-03589,2026-03-26,support_ticket,Least draw decision election table. Within worry information peace.,-0.333,negative,2,buggy app|broken product,True
REV-00010,CUST-01534,2026-03-26,trustpilot,Claim forward suggest sit.,-0.3,neutral,3,good value,False
REV-00011,CUST-03809,2026-03-26,support_ticket,Whatever consider various end. Policy account discover effort them detail. Thought fund think they Republican rock cell.,0.206,neutral,3,hidden fees,False
REV-00012,CUST-03624,2026-03-26,trustpilot,Property without traditional almost figure plant Democrat wife. Whole yourself could question.,-0.812,negative,1,buggy app,False
REV-00013,CUST-01492,2026-03-26,google_play,Need health should decision structure. By finish road. Myself idea indeed evidence sense. The meet room turn pattern paper.,0.097,neutral,3,overpriced|slow delivery,False
REV-00014,CUST-02713,2026-03-26,app_store,System box detail poor finally soon. Easy claim hope market man firm. The choose decade me myself. Board wear hundred during federal society. Owner best employee. Here common paper less.,0.734,positive,5,love the app|helpful team,False
REV-00015,CUST-03780,2026-03-26,app_store,Project box under usually end. Want investment poor. However believe consider young lot policy possible.,0.4,positive,5,easy to use|great support|smooth checkout,False
REV-00016,CUST-02434,2026-03-26,trustpilot,Leader sound give. Message end hand clearly north. Few over instead former free. Child relate those suffer order write main. Garden interview impact.,-0.058,neutral,3,beautiful design|hidden fees,False
REV-00017,CUST-00189,2026-03-26,trustpilot,Cold north nature despite. Election fine magazine oil his. Meeting change public summer beyond. Politics difference list degree fund. Party mind different set.,-0.214,neutral,3,fast shipping|slow delivery,True
REV-00018,CUST-03971,2026-03-26,support_ticket,Instead ready though enjoy standard model join. True current about as beautiful best pay. Student production world hour owner. Mean several rather require. Direction number pull environmental stand go.,0.463,positive,5,reliable product|quick response,False
REV-00019,CUST-04241,2026-03-26,trustpilot,Ask south seven on response recognize move.,0.238,neutral,3,hidden fees|buggy app,False
REV-00020,CUST-02046,2026-03-26,app_store,Trip eye hospital find. Thus financial father bank.,-0.011,neutral,3,hidden fees,False
REV-00021,CUST-04059,2026-03-26,social_media,Quickly system suggest may poor training power. Nice anyone door.,-0.165,neutral,3,overpriced|great support,False
REV-00022,CUST-04970,2026-03-26,trustpilot,Training news wonder already find. Up effort already serious threat white my grow.,0.134,neutral,3,poor support,False
REV-00023,CUST-02969,2026-03-26,google_play,Risk western leader condition simple direction present. Mention account itself. Subject environmental put can official stay. Out win focus provide store hold change. City system notice may space me magazine.,-0.036,neutral,3,quick response,False
REV-00024,CUST-01549,2026-03-26,trustpilot,Responsibility industry whom week really executive wrong. Chance example here go.,0.453,positive,5,quick response|great support|helpful team,False
REV-00025,CUST-02891,2026-03-26,trustpilot,Amount hot less difficult cause establish white. High book suffer worry somebody. Listen religious light time it study medical. Run trouble mean white school apply issue.,0.659,positive,5,great support|smooth checkout,False
REV-00026,CUST-04741,2026-03-26,app_store,Heart particular method worker social.,-0.515,negative,1,buggy app,False
REV-00027,CUST-00652,2026-03-26,google_play,Reveal business south me network set. Woman keep owner discuss case peace she. Party among political usually themselves.,-0.452,negative,2,poor support|buggy app|hidden fees,True
REV-00028,CUST-00068,2026-03-26,app_store,Call rule easy my up. Worker plan return these soldier experience. Test style science ten.,0.707,positive,4,quick response|beautiful design,False
REV-00029,CUST-01110,2026-03-26,support_ticket,Say across despite bag authority item Mrs. Again expect idea break chair edge including. Force fish hope real see. Hospital wish necessary sense decade.,0.175,neutral,3,wrong item|easy to use,False
REV-00030,CUST-01595,2026-03-26,social_media,This decision around exist.,-0.409,negative,2,poor support|wrong item|no response,False
REV-00031,CUST-04669,2026-03-26,trustpilot,Discuss organization will number.,0.542,positive,4,great support|smooth checkout|beautiful design,False
REV-00032,CUST-00236,2026-03-26,social_media,Poor land visit say marriage.,0.254,neutral,3,helpful team,False
REV-00033,CUST-03297,2026-03-26,trustpilot,Discussion friend language reduce.,1.0,positive,5,love the app,False
REV-00034,CUST-02421,2026-03-26,app_store,Likely say others ball outside operation quite candidate. Thousand attack decide address. Fly listen environment according need.,-0.006,neutral,3,slow delivery|hidden fees,False
REV-00035,CUST-02638,2026-03-26,google_play,Relationship own bad why word page Mrs. Their in institution fine dream. Significant night because nature.,0.599,positive,5,love the app|good value|smooth checkout,False
REV-00036,CUST-01382,2026-03-26,google_play,No store truth see section. Want identify federal walk exist. Baby eye half top beautiful prove. Movie measure population activity record participant.,-0.552,negative,2,wrong item|broken product|hidden fees,True
REV-00037,CUST-00359,2026-03-26,app_store,Continue us as per sea often treatment gas.,0.728,positive,5,helpful team|easy to use,False
REV-00038,CUST-00985,2026-03-26,social_media,Popular chair ask some yet. Out military avoid according citizen challenge something.,0.525,positive,4,love the app|quick response,False
REV-00039,CUST-02722,2026-03-26,google_play,You key down alone person. Environment accept water data seven. Economy fund magazine catch our. Begin many former enjoy see. Choice on medical. Bank owner hear tree others.,0.822,positive,4,good value,False
REV-00040,CUST-03925,2026-03-26,google_play,Political school know official special.,0.6,positive,5,easy to use|quick response|helpful team,False
REV-00041,CUST-00083,2026-03-26,support_ticket,Agreement section check sure.,0.055,neutral,3,helpful team,False
REV-00042,CUST-04679,2026-03-26,google_play,Focus rather data. True several interest night. Time watch life six skin.,-0.427,negative,1,broken product,False
REV-00043,CUST-03829,2026-03-26,support_ticket,Beautiful light into mouth reduce none. By than feeling shoulder manage soldier. Pick around behavior whole final another ahead. General or condition another. Benefit long newspaper suddenly foot budget. Throughout story message world.,-0.171,neutral,3,broken product,False
REV-00044,CUST-00556,2026-03-26,social_media,Walk station ever nor health amount. Poor only free yourself listen.,-0.693,negative,1,poor support,True
REV-00045,CUST-01366,2026-03-26,social_media,Southern service look style. Stock next state former camera difference close. Their far do quickly focus present technology.,-0.314,negative,2,slow delivery|confusing UI,True
REV-00046,CUST-03350,2026-03-26,google_play,Lose live agreement draw Democrat. Cause former teach age community financial bar.,0.292,neutral,3,hidden fees,False
REV-00047,CUST-04783,2026-03-26,google_play,Throw voice themselves. Cut medical hotel along believe beyond different. Detail require once both sell. Occur subject station professor laugh expert inside. Rich cultural discover evening administration. Project successful reduce.,0.079,neutral,3,love the app,False
REV-00048,CUST-04773,2026-03-26,social_media,Brother production world door about their by. Guess study professional safe. Sound every as notice system edge drive various.,-0.001,neutral,3,hidden fees,False
REV-00049,CUST-00725,2026-03-26,app_store,Computer writer past daughter. Herself teacher good idea necessary test arrive.,-0.257,neutral,3,terrible experience|slow delivery,True
REV-00050,CUST-02855,2026-03-26,support_ticket,Point adult couple. Sense well purpose office receive.,-0.698,negative,1,overpriced|terrible experience|wrong item,True
REV-00051,CUST-03277,2026-03-26,google_play,Assume teach western sea how away. Raise there order effort box.,0.182,neutral,3,quick response,False
REV-00052,CUST-02869,2026-03-26,trustpilot,Role American law toward. Ever accept start small soon. Piece beyond all rise run simple.,0.271,neutral,3,easy to use|fast shipping,False
REV-00053,CUST-03354,2026-03-26,app_store,Strategy risk involve compare happy. Practice drop pattern less unit. Big word capital worker stay.,-0.346,negative,2,overpriced|slow delivery,True
REV-00054,CUST-02439,2026-03-26,app_store,Very citizen yourself today. Allow fine culture. Task base direction although and certainly.,-0.14,neutral,3,terrible experience,False
REV-00055,CUST-01285,2026-03-26,app_store,Wish most make. Work might end carry director ball night.,0.794,positive,5,love the app|reliable product,False
REV-00056,CUST-00786,2026-03-26,trustpilot,Financial book feeling cause mouth member. Hold discussion through everything. Make practice upon machine perform.,0.622,positive,5,love the app|quick response,False
REV-00057,CUST-00992,2026-03-26,support_ticket,Public standard accept hard ball window happen practice. So spend test.,-0.568,negative,2,broken product|poor support,True
REV-00058,CUST-02465,2026-03-26,social_media,Face economic evening. Gun note truth stop. Might fall determine pull trade deal. Piece action participant dinner after.,0.062,neutral,3,slow delivery|no response,False
REV-00059,CUST-00362,2026-03-26,social_media,Develop before break. Actually general window life society.,0.755,positive,4,love the app|beautiful design,False
REV-00060,CUST-04234,2026-03-26,support_ticket,Town education figure save explain voice. Degree unit use plant long from.,0.003,neutral,3,reliable product|hidden fees,False
REV-00061,CUST-01519,2026-03-26,app_store,Challenge director certainly play next under bag.,-0.021,neutral,3,wrong item,False
REV-00062,CUST-00659,2026-03-26,social_media,Those range movement significant make social stand travel. Film development gas central. Itself mind increase set place.,0.592,positive,5,fast shipping|reliable product|smooth checkout,False
REV-00063,CUST-01204,2026-03-26,social_media,Apply whatever coach moment. Sell loss fine end. Local reason agreement here.,0.544,positive,5,good value|reliable product,False
REV-00064,CUST-03455,2026-03-26,social_media,Pay energy nice anyone dog risk. Ahead between government evidence.,0.521,positive,5,reliable product|love the app,False
REV-00065,CUST-00012,2026-03-26,app_store,Second skin education process miss compare. Maintain similar entire official only.,-0.018,neutral,3,overpriced|fast shipping,False
REV-00066,CUST-03115,2026-03-26,google_play,Yeah move war political total than reveal. Fast although change author. Wide believe describe end country.,0.398,positive,5,quick response|great support|easy to use,False
REV-00067,CUST-00305,2026-03-26,app_store,Collection should focus sense. Course piece build enter take position. Within professional yes argue late edge career.,0.773,positive,5,easy to use|beautiful design|quick response,False
REV-00068,CUST-00326,2026-03-26,support_ticket,Success increase carry plant reflect police blood a. Should language first laugh. In task ok send change he. Investment couple dinner story something indeed suggest.,0.078,neutral,3,good value|broken product,False
REV-00069,CUST-02207,2026-03-26,support_ticket,Many Congress factor during material. Part forget deal again.,-0.082,neutral,3,love the app,False
REV-00070,CUST-02354,2026-03-26,social_media,Describe dream anyone idea read wall. Example enough fact customer hour direction watch. Hundred minute fear cold. Option source sister pay share rather data. Reality read evidence source outside cultural despite represent. Test clearly black foot change sort.,0.654,positive,5,reliable product|smooth checkout|quick response,False
REV-00071,CUST-00446,2026-03-26,social_media,Suddenly western Mrs still through upon same. Bed issue on include. Despite society build say leader show.,1.0,positive,5,beautiful design|smooth checkout,False
REV-00072,CUST-04942,2026-03-26,app_store,Everybody attack enter look condition should game through. Rule hold six lead big itself.,1.0,positive,5,smooth checkout|easy to use,False
REV-00073,CUST-03421,2026-03-26,google_play,Society event offer probably. Send determine although. Operation way common remember policy statement new. Listen make daughter physical.,-0.069,neutral,3,great support,False
REV-00074,CUST-04137,2026-03-26,app_store,Continue board we never send score center poor. Moment just foreign public up government rate. Left federal sit in gas yeah already family.,-0.023,neutral,3,love the app|easy to use,False
REV-00075,CUST-00127,2026-03-26,trustpilot,Serious several or one table human yes. Hold in child room. War name of these notice music think discussion. Run majority still discover heart discover.,-0.363,negative,2,slow delivery,True
REV-00076,CUST-01760,2026-03-26,support_ticket,Draw activity so laugh happy either prepare. Box cultural member sit off.,0.153,neutral,3,buggy app|smooth checkout,False
REV-00077,CUST-02927,2026-03-26,trustpilot,Fish chance name capital specific throw light. World low political.,-0.383,negative,2,hidden fees|no response|wrong item,True
